totalScreenTime,socialMediaTime,gamingTime,entertainmentTime,educationTime,productivityTime,numberOfSessions,averageSessionDuration,lateNightUsage,earlyMorningUsage,sevenDayAverage,usageChangePercentage,socialMediaPercentage,gamingPercentage,productivePercentage,riskScore,riskLevel
359.4,195.0,92.6,29.8,17.4,8.7,76,4.7,83,21,391.9,12.1,54.3,25.8,7.3,73,HIGH
251.0,71.3,19.0,46.1,57.3,45.2,52,4.8,31,17,229.6,25.9,28.4,7.6,40.8,43,MODERATE
321.6,176.1,89.2,81.5,40.9,17.7,64,5.0,57,5,349.7,32.5,54.7,27.7,18.2,69,HIGH
125.7,23.3,3.2,11.4,21.1,29.9,19,6.6,0,0,119.1,-8.0,18.5,2.5,40.6,27,LOW
345.7,107.3,37.9,33.7,26.6,16.8,67,5.2,30,19,366.1,31.9,31.0,11.0,12.6,63,HIGH
167.0,83.5,13.7,49.4,3.9,19.0,47,3.6,12,16,175.6,0.2,50.0,8.2,13.7,50,MODERATE
189.7,79.3,37.7,31.3,24.7,23.9,23,8.2,31,8,164.9,-45.1,41.8,19.9,25.6,45,MODERATE
376.7,204.7,85.6,83.3,14.6,11.4,82,4.6,84,9,325.7,33.9,54.3,22.7,6.9,73,HIGH
80.9,19.3,22.2,18.1,15.4,40.0,13,6.2,20,5,83.6,7.8,23.9,27.4,68.5,7,LOW
582.1,277.8,164.6,171.3,6.3,9.8,99,5.9,148,27,634.7,30.3,47.7,28.3,2.8,91,CRITICAL
285.1,104.3,94.2,65.7,41.9,22.3,75,3.8,43,16,241.9,1.9,36.6,33.1,22.5,63,HIGH
110.8,44.3,16.8,23.0,18.1,9.8,26,4.3,0,0,112.4,5.7,40.0,15.2,25.2,13,LOW
83.6,29.1,19.6,0.0,40.3,37.2,11,7.6,0,0,80.1,2.7,34.8,23.4,92.8,21,LOW
160.7,57.7,26.2,29.3,18.0,0.0,26,6.2,32,10,177.8,-4.1,35.9,16.3,11.2,45,MODERATE
430.0,242.9,53.4,86.4,0.0,17.9,68,6.3,112,10,423.3,7.1,56.5,12.4,4.2,94,CRITICAL
196.9,64.3,35.7,62.9,38.9,22.7,51,3.9,26,8,225.0,2.8,32.7,18.1,31.2,32,MODERATE
229.5,83.4,63.1,91.8,33.8,15.1,47,4.9,18,19,231.9,-18.3,36.3,27.5,21.3,48,MODERATE
96.5,13.9,13.1,2.0,45.4,16.4,16,6.0,2,12,93.0,-13.2,14.4,13.6,64.0,10,LOW
